IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.11.185,4,3,0.25,206.45,0.00
172.67.166.240,4,3,0.25,206.66,0.00
104.17.251.31,4,3,0.25,206.85,0.00
104.18.26.79,4,3,0.25,207.17,0.00
104.18.19.39,4,3,0.25,207.25,0.00
104.18.21.60,4,3,0.25,207.57,0.00
172.67.56.61,4,3,0.25,207.62,0.00
104.17.254.253,4,3,0.25,207.64,0.00
172.64.139.195,4,3,0.25,208.29,0.00
104.25.56.34,4,3,0.25,208.81,0.00
104.18.6.132,4,3,0.25,209.43,0.00
104.18.30.135,4,3,0.25,209.90,0.00
104.25.10.128,4,3,0.25,210.00,0.00
172.67.145.187,4,3,0.25,210.28,0.00
104.18.1.173,4,3,0.25,210.37,0.00
104.25.68.144,4,3,0.25,210.40,0.00
172.65.245.100,4,3,0.25,210.42,0.00
104.21.229.195,4,3,0.25,210.53,0.00
104.18.14.218,4,3,0.25,210.74,0.00
104.18.27.173,4,3,0.25,210.96,0.00
104.25.193.164,4,3,0.25,210.99,0.00
104.18.24.18,4,3,0.25,211.08,0.00
104.17.252.205,4,3,0.25,211.37,0.00
104.25.44.235,4,3,0.25,211.97,0.00
172.67.173.183,4,3,0.25,212.17,0.00
104.22.20.144,4,3,0.25,212.21,0.00
104.20.223.198,4,3,0.25,212.52,0.00
104.16.213.103,4,3,0.25,212.57,0.00
104.16.221.130,4,3,0.25,212.86,0.00
172.67.213.68,4,3,0.25,212.90,0.00
104.22.52.160,4,3,0.25,212.99,0.00
104.18.8.80,4,3,0.25,213.20,0.00
104.18.22.33,4,3,0.25,213.21,0.00
104.17.253.228,4,3,0.25,213.30,0.00
104.18.4.24,4,3,0.25,213.40,0.00
104.16.229.228,4,3,0.25,213.68,0.00
104.19.30.3,4,3,0.25,213.92,0.00
104.16.220.205,4,3,0.25,214.44,0.00
104.18.12.68,4,3,0.25,214.44,0.00
104.17.255.129,4,3,0.25,214.82,0.00
172.65.62.1,4,3,0.25,215.23,0.00
172.65.67.150,4,3,0.25,215.42,0.00
104.27.12.42,4,3,0.25,215.50,0.00
104.25.102.6,4,3,0.25,215.58,0.00
104.25.204.234,4,3,0.25,216.34,0.00
104.25.58.232,4,3,0.25,216.63,0.00
172.67.58.236,4,3,0.25,216.94,0.00
104.18.10.42,4,3,0.25,217.31,0.00
104.18.16.221,4,3,0.25,217.38,0.00
104.18.5.39,4,3,0.25,217.50,0.00
104.18.7.130,4,3,0.25,217.61,0.00
